file,domain,formalism,action,input_path,output_path
StrictMath_ContendedRandom.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StrictMath_ContendedRandom.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StrictMath_ContendedRandom.mop
String_UseStringBuilder.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\String_UseStringBuilder.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\String_UseStringBuilder.mop
StringBuffer_SingleThreadUsage.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StringBuffer_SingleThreadUsage.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StringBuffer_SingleThreadUsage.mop
StringBuilder_ThreadSafe.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StringBuilder_ThreadSafe.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StringBuilder_ThreadSafe.mop
System_NullArrayCopy.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\System_NullArrayCopy.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\System_NullArrayCopy.mop
System_WrongKeyOrValue.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\System_WrongKeyOrValue.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\System_WrongKeyOrValue.mop
Thread_SetDaemonBeforeStart.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Thread_SetDaemonBeforeStart.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Thread_SetDaemonBeforeStart.mop
Thread_StartOnce.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Thread_StartOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Thread_StartOnce.mop
Throwable_InitCauseOnce.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Throwable_InitCauseOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Throwable_InitCauseOnce.mop
Authenticator_OverrideGetPasswordAuthentication.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Authenticator_OverrideGetPasswordAuthentication.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Authenticator_OverrideGetPasswordAuthentication.mop
ContentHandler_GetContent.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ContentHandler_GetContent.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ContentHandler_GetContent.mop
DatagramPacket_Length.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramPacket_Length.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramPacket_Length.mop
DatagramPacket_SetLength.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramPacket_SetLength.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramPacket_SetLength.mop
DatagramSocket_Port.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_Port.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_Port.mop
DatagramSocket_SoTimeout.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_SoTimeout.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_SoTimeout.mop
DatagramSocket_TrafficClass.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_TrafficClass.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_TrafficClass.mop
HttpCookie_Domain.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpCookie_Domain.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpCookie_Domain.mop
