dataset,formalism,rank,selected_fewshot,distance
Arrays_Comparable,event,3,event_03.json,4.000000
Arrays_DeepHashCode,event,1,event_01.json,0.000000
Arrays_DeepHashCode,event,2,event_06.json,3.000000
Arrays_DeepHashCode,event,3,event_03.json,4.000000
Arrays_MutuallyComparable,event,1,event_06.json,0.000000
Arrays_MutuallyComparable,event,2,event_01.json,3.000000
Arrays_MutuallyComparable,event,3,event_02.json,3.000000
Collections_Comparable,event,1,event_05.json,3.000000
Collections_Comparable,event,2,event_02.json,7.000000
Collections_Comparable,event,3,event_07.json,7.000000
Collections_CopySize,event,1,event_06.json,0.000000
Collections_CopySize,event,2,event_01.json,3.000000
Collections_CopySize,event,3,event_02.json,3.000000
Collections_ImplementComparable,event,1,event_04.json,2.000000
Collections_ImplementComparable,event,2,event_06.json,4.000000
Collections_ImplementComparable,event,3,event_01.json,7.000000
Collections_UnnecessaryNewSetFromMap,event,1,event_01.json,3.000000
Collections_UnnecessaryNewSetFromMap,event,2,event_06.json,6.000000
Collections_UnnecessaryNewSetFromMap,event,3,event_03.json,7.000000
Collection_HashCode,event,1,event_03.json,3.000000
Collection_HashCode,event,2,event_01.json,7.000000
Collection_HashCode,event,3,event_06.json,10.000000
Collection_StandardConstructors,event,1,event_03.json,3.000000
Collection_StandardConstructors,event,2,event_01.json,7.000000
Collection_StandardConstructors,event,3,event_06.json,10.000000
Dictionary_NullKeyOrValue,event,1,event_02.json,0.000000
Dictionary_NullKeyOrValue,event,2,event_06.json,3.000000
Dictionary_NullKeyOrValue,event,3,event_01.json,6.000000
EnumMap_NonNull,event,1,event_04.json,2.000000
EnumMap_NonNull,event,2,event_06.json,4.000000
EnumMap_NonNull,event,3,event_01.json,7.000000
EnumSet_NonNull,event,1,event_04.json,2.000000
EnumSet_NonNull,event,2,event_06.json,4.000000
EnumSet_NonNull,event,3,event_01.json,7.000000
InvalidPropertiesFormatException_NonSerializable,event,1,event_04.json,3.000000
InvalidPropertiesFormatException_NonSerializable,event,2,event_02.json,6.000000
InvalidPropertiesFormatException_NonSerializable,event,3,event_05.json,8.000000
Map_ItselfAsKey,event,1,event_05.json,0.000000
Map_ItselfAsKey,event,2,event_07.json,4.000000
Map_ItselfAsKey,event,3,event_02.json,10.000000
Map_ItselfAsValue,event,1,event_05.json,0.000000
Map_ItselfAsValue,event,2,event_07.json,4.000000
Map_ItselfAsValue,event,3,event_02.json,10.000000
Map_StandardConstructors,event,1,event_03.json,3.000000
Map_StandardConstructors,event,2,event_01.json,7.000000
Map_StandardConstructors,event,3,event_06.json,10.000000
PriorityQueue_NonComparable,event,1,event_04.json,2.000000
PriorityQueue_NonComparable,event,2,event_06.json,4.000000
PriorityQueue_NonComparable,event,3,event_01.json,7.000000
PriorityQueue_NonNull,event,1,event_04.json,2.000000
PriorityQueue_NonNull,event,2,event_06.json,4.000000
PriorityQueue_NonNull,event,3,event_01.json,7.000000
Random_OverrideNext,event,1,event_03.json,3.000000
Random_OverrideNext,event,2,event_01.json,7.000000
Random_OverrideNext,event,3,event_06.json,10.000000
Set_ItselfAsElement,event,1,event_05.json,3.000000
Set_ItselfAsElement,event,2,event_02.json,7.000000
Set_ItselfAsElement,event,3,event_07.json,7.000000
SortedMap_StandardConstructors,event,1,event_03.json,3.000000
SortedMap_StandardConstructors,event,2,event_01.json,7.000000
SortedMap_StandardConstructors,event,3,event_06.json,10.000000
SortedSet_Comparable,event,1,event_05.json,3.000000
SortedSet_Comparable,event,2,event_02.json,7.000000
SortedSet_Comparable,event,3,event_07.json,7.000000
SortedSet_StandardConstructors,event,1,event_03.json,3.000000
SortedSet_StandardConstructors,event,2,event_01.json,7.000000
SortedSet_StandardConstructors,event,3,event_06.json,10.000000
TreeMap_Comparable,event,1,event_02.json,8.000000
TreeMap_Comparable,event,2,event_04.json,9.000000
TreeMap_Comparable,event,3,event_05.json,10.000000
TreeSet_Comparable,event,1,event_04.json,2.000000
TreeSet_Comparable,event,2,event_06.json,4.000000
TreeSet_Comparable,event,3,event_01.json,7.000000
Vector_InsertIndex,event,1,event_06.json,0.000000
Vector_InsertIndex,event,2,event_01.json,3.000000
Vector_InsertIndex,event,3,event_02.json,3.000000
